Rider,FTP (w),Weight (kg),W/KG,Height (m),Points (One day races),Points (GC),Points (Time trial),Points (Sprint),Points (Climber),Date of Birth,Tour de Frances participated in,1998 TDF Total Finish Time (s),1999 TDF Total Finish Time (s),2000 TDF Total Finish Time (s),2001 TDF Total Finish Time (s),2002 TDF Total Finish Time (s),2004 TDF Total Finish Time (s),2006 TDF Total Finish Time (s),2007 TDF Total Finish Time (s),2008 TDF Total Finish Time (s),2009 TDF Total Finish Time (s),2010 TDF Total Finish Time (s),2011 TDF Total Finish Time (s),2012 TDF Total Finish Time (s),2013 TDF Total Finish Time (s),2014 TDF Total Finish Time (s),2015 TDF Total Finish Time (s),2016 TDF Total Finish Time (s),2017 TDF Total Finish Time (s),2018 TDF Total Finish Time (s),2019 TDF Total Finish Time (s),2020 TDF Total Finish Time (s),2021 TDF Total Finish Time (s),2022 TDF Total Finish Time (s),2023 TDF Total Finish Time (s)
Heinrich Haussler,391,72,5.43,1.81,3054,840,276,3798,884,25-Feb-84,"2018, 2009, 2008, 2007",,,,,,,,340376,328706,317830,,,,,,,,,313177,,,,,
Jens Voigt,412,78,5.28,1.9,1635,6043,5391,3952,1846,17-Sep-71,"2014, 2013, 2012, 2011, 2010, 2008, 2007, 2006, 2004, 2002, 2001, 2000, 1999, 1998",342900,336003,341025,316050,305087,304989,329411,331728,320687,,343339,317538,321928,310309,337543,,,,,,,,,
Koen de Kort,337,71,4.75,1.79,702,1002,403,765,420,8-Sep-82,"2019, 2018, 2017, 2015, 2014, 2013, 2012, 2009",,,,,,,,,,319320,,,325740,315455,337078,315799,,320368,309942,312108,,,,
Lukasz Wisniowski,406,78,5.21,1.91,560,291,307,316,158,7-Dec-91,2019,,,,,,,,,,,,,,,,,,,,312214,,,,
Magnus Backstedt,486,95,5.12,1.94,1441,627,1689,1736,318,30-Jan-75,"2000, 1998",341896,,345215,,,,,,,,,,,,,,,,,,,,,
Mark Donovan,385,66,5.83,1.85,65,427,69,4,378,3-Apr-99,2021,,,,,,,,,,,,,,,,,,,,,,306856,,
Mathieu Burgaudeau,330,61,5.41,1.68,634,294,10,26,938,17-Nov-98,"2023, 2022, 2020",,,,,,,,,,,,,,,,,,,,,334063,,299126,304015
Mathieu van der Poel,485,75,6.46,1.84,5529,984,906,1424,2474,19-Jan-95,2023,,,,,,,,,,,,,,,,,,,,,,,,307026
Michael Matthews,393,70,5.61,1.78,6635,832,1642,3278,6724,26-Sep-90,"2022, 2021, 2019, 2017, 2016, 2015",,,,,,,,,,,,,,,,321167,334348,320251,,306814,,309606,299959,
Michael Valgren,390,72,5.42,1.79,2742,1148,453,328,2020,7-Feb-92,"2021, 2020, 2019, 2018, 2017, 2016",,,,,,,,,,,,,,,,,331570,319591,306993,307507,327710,307372,,
Michal Kwiatkowski,420,68,6.18,1.76,4549,3630,3505,731,5234,2-Jun-90,"2023, 2021, 2020, 2019, 2018, 2017, 2014, 2013",,,,,,,,,,,,,,303339,328861,,,319123,307362,308594,321997,308758,,306110
Mikael Cherel,400,65,6.15,1.83,654,1318,1,466,992,17-Mar-86,"2020, 2019, 2016, 2015, 2014, 2012",,,,,,,,,,,,,322480,,334266,309074,329553,,,303572,320456,,,
Mike Teunissen,375,72,5.21,1.84,1670,1295,329,1471,994,25-Aug-92,"2023, 2021, 2019, 2017",,,,,,,,,,,,,,,,,,324287,,309834,,309301,,312437
Neilson Powless,295,66,4.47,1.83,1482,1479,726,280,1858,3-Sep-96,"2023, 2022, 2021, 2020",,,,,,,,,,,,,,,,,,,,,325394,306609,289217,308592
Nils Eekhof,370,72,5.14,1.92,397,279,222,502,152,23-Jan-98,"2023, 2022, 2021",,,,,,,,,,,,,,,,,,,,,,313160,303366,315540
Nils Politt,390,80,4.88,1.92,1652,975,1169,452,1034,6-Mar-94,"2023, 2022, 2021, 2020, 2019, 2018, 2017",,,,,,,,,,,,,,,,,,322007,310687,306688,332947,307160,297829,308069
