Rider,FTP (w),Weight (kg),Power-to-Weight Ratio (w/kg),Height (m),Points (GC),Points (Time Trial),Points (Sprint),Points (Climb),Date of Birth,Tour de Frances participated in,1998 TDF Total Finish Time (s),1999 TDF Total Finish Time (s),2000 TDF Total Finish Time (s),2001 TDF Total Finish Time (s),2002 TDF Total Finish Time (s),2004 TDF Total Finish Time (s),2006 TDF Total Finish Time (s),2007 TDF Total Finish Time (s),2008 TDF Total Finish Time (s),2009 TDF Total Finish Time (s),2010 TDF Total Finish Time (s),2011 TDF Total Finish Time (s),2012 TDF Total Finish Time (s),2013 TDF Total Finish Time (s),2014 TDF Total Finish Time (s),2015 TDF Total Finish Time (s),2016 TDF Total Finish Time (s),2017 TDF Total Finish Time (s),2018 TDF Total Finish Time (s),2019 TDF Total Finish Time (s),2020 TDF Total Finish Time (s),2021 TDF Total Finish Time (s),2022 TDF Total Finish Time (s),2023 TDF Total Finish Time (s),Overall Type Index
Michal Kwiatkowski,420,68,6.18,1.76,3630,3505,731,5234,2-Jun-90,"2023, 2021, 2020, 2019, 2018, 2017, 2014, 2013",,,,,,,,,,,,,,303339,328861,,,319123,307362,308594,321997,308758,,306110,2.8086259541984733
Mikael Cherel,400,65,6.15,1.83,1318,1,466,992,17-Mar-86,"2020, 2019, 2016, 2015, 2014, 2012",,,,,,,,,,,,,322480,,334266,309074,329553,,,303572,320456,,,,3.1886928339935183
Mike Teunissen,375,72,5.21,1.84,1295,329,1471,994,25-Aug-92,"2023, 2021, 2019, 2017",,,,,,,,,,,,,,,,,,324287,,309834,,309301,,312437,2.722426021032037
Neilson Powless,295,66,4.47,1.83,1479,726,280,1858,3-Sep-96,"2023, 2022, 2021, 2020",,,,,,,,,,,,,,,,,,,,,325394,306609,289217,308592,3.029012203545936
Nils Eekhof,370,72,5.14,1.92,279,222,502,152,23-Jan-98,"2023, 2022, 2021",,,,,,,,,,,,,,,,,,,,,,313160,303366,315540,2.3125541125541127
Nils Politt,390,80,4.88,1.92,975,1169,452,1034,6-Mar-94,"2023, 2022, 2021, 2020, 2019, 2018, 2017",,,,,,,,,,,,,,,,,,322007,310687,306688,332947,307160,297829,308069,2.5162534435261708
Oliver Naesen,400,73,5.48,1.84,1343,49,1252,1981,16-Sep-90,"2023, 2021, 2020, 2019, 2018, 2017, 2016",,,,,,,,,,,,,,,,,332176,319737,308809,306823,326529,308941,,309747,3.1364324324324326
Reinardt Janse van Rensburg,396,77,5.14,1.82,892,458,2015,744,3-Feb-89,"2022, 2019, 2018, 2017, 2016, 2015",,,,,,,,,,,,,,,,317264,334878,323509,312098,312070,,,306285,,2.4677537113652956
Robert Gesink,410,70,5.86,1.9,5157,1196,658,5821,31-May-86,"2020, 2018, 2015, 2013, 2011, 2010",,,,,,,,,,,331699,314251,,305465,,305821,,,304706,,323440,,,,3.2159445137157108
Romain Hardy,332,62,5.36,1.72,797,15,964,1036,24-Aug-88,"2018, 2017",,,,,,,,,,,,,,,,,,315226,311822,,,,,,3.014935988620199
