Rider,FTP (w),Weight (kg),Power-to-Weight Ratio (w/kg),Height (m),Points (GC),Points (Time Trial),Points (Sprint),Points (Climb),Date of Birth,Tour de Frances participated in,Rider Type Index
Michael Valgren,390,72,5.42,1.79,1148,453,328,2020,7-Feb-92,"2021, 2020, 2019, 2018, 2017, 2016",3.199037731071157
Michal Kwiatkowski,420,68,6.18,1.76,3630,3505,731,5234,2-Jun-90,"2023, 2021, 2020, 2019, 2018, 2017, 2014, 2013",2.8086259541984733
Mikael Cherel,400,65,6.15,1.83,1318,1,466,992,17-Mar-86,"2020, 2019, 2016, 2015, 2014, 2012",3.1886928339935183
Mike Teunissen,375,72,5.21,1.84,1295,329,1471,994,25-Aug-92,"2023, 2021, 2019, 2017",2.722426021032037
Neilson Powless,295,66,4.47,1.83,1479,726,280,1858,3-Sep-96,"2023, 2022, 2021, 2020",3.029012203545936
Nicholas Roche,389,71,5.48,1.78,3467,666,1202,5190,3-Jul-84,,3.252351543942993
Nils Eekhof,370,72,5.14,1.92,279,222,502,152,23-Jan-98,"2023, 2022, 2021",2.3125541125541127
Nils Politt,390,80,4.88,1.92,975,1169,452,1034,6-Mar-94,"2023, 2022, 2021, 2020,2019, 2018, 2017",2.5162534435261708
Oliver Naesen,400,73,5.48,1.84,1343,49,1252,1981,16-Sep-90,"2023, 2021, 2020, 2019, 2018, 2017, 2016",3.1364324324324326
Reinardt Janse van Rensburg,396,77,5.14,1.82,892,458,2015,744,3-Feb-89,"2022, 2019, 2018, 2017, 2016, 2015",2.4677537113652956
Robert Gesink,410,70,5.86,1.9,5157,1196,658,5821,31-May-86,"2020, 2018, 2015, 2013, 2011, 2010",3.2159445137157108
Romain Hardy,332,62,5.36,1.72,797,15,964,1036,24-Aug-88,"2018, 2017",3.014935988620199
Ryan Mullen,420,82,5.12,1.89,184,1145,35,46,7-Aug-94,,1.3836879432624114
Sacha Modolo,380,67,5.67,1.8,535,19,4966,1124,19-Jun-87,,2.416014449127032
Sam Welsford,357,80,4.46,1.8,180,78,815,25,19-Jan-96,2023,2.1384335154826957
Scott Thwaites,390,70,5.57,1.78,199,1,688,212,12-Feb-90,2017,2.5654545454545454
Sebastan Reichenbach,378,64,5.91,1.78,2001,123,237,2087,28-May-89,,3.360611510791367
Sepp Kuss,383,61,6.28,1.82,2187,300,42,3181,13-Sep-94,"2023, 2022, 2021, 2020",3.444658493870403
Simon Geschke,360,63,5.71,1.71,1374,660,634,2178,13-Mar-86,"2022, 2021, 2020, 2019, 2018, 2017, 2016, 2015, 2013, 2009",3.046223689640941
Stijn Steels,400,78,5.13,1.82,42,37,327,45,21-Aug-89,,2.210643015521064
Tadej Pogačar,424,66,6.42,1.76,5194,1837,226,7190,21-Sep-98,"2023, 2022, 2021, 2020",3.2277289402644147
Tejay van Garderen,425,72,5.9,1.86,5164,3409,414,3974,12-Aug-88,"2020, 2018, 2016, 2014, 2013, 2012, 2011",2.7486305069053314
Tim Declercq,400,78,5.13,1.9,457,26,420,110,21-Mar-89,"2023, 2021, 2020",2.642645607107601
Timothy Dupont,363,71,5.11,1.79,196,3,5192,183,1-Nov-87,2018,2.1002870470039467
Tobias Ludvigsson,445,75,5.93,1.94,898,1938,138,366,22-Feb-91,2018,1.9077844311377246
Tom Dumoulin,431,69,6.25,1.85,4380,6256,302,4526,11-Nov-90,"2020, 2018, 2014, 2013",2.464045525090533
Tom van Asbroeck,371,72,5.15,1.82,507,20,3282,571,19-Apr-90,2020,2.371917808219178
Tosh van der Sande,361,64,5.64,1.78,759,1,1074,1248,28-Nov-90,,3.055807916937054
Travis McCabe,380,70,5.43,1.8,117,86,1668,181,12-May-89,,2.1915204678362574
Victor Campenaerts,394,69,5.71,1.73,886,3060,330,681,28-Oct-91,2023,1.8361912447044584
Will Clarke,471,81,5.81,1.92,176,678,407,14,11-Apr-85,,1.628235294117647
Willie Smit,379,72,5.26,1.8,166,193,196,76,29-Dec-92,,2.198098256735341
Wout van Aert,460,78,5.9,1.9,1091,2586,1882,4093,15-Sep-94,"2022, 2021, 2020",2.6932242022378783
